author_type,floor,floors_count,rooms_count,total_meters,underground,availability_underground,price_per_meter
real_estate_agent,9,16,2,71.0,Горки,True,136620
real_estate_agent,16,19,2,50.0,Горки,True,195980
representative_developer,7,24,2,62.77,not available,False,156444
real_estate_agent,2,5,2,43.2,Новочеркасская,True,236111
real_estate_agent,5,7,2,32.0,not available,False,323125
real_estate_agent,12,13,1,38.89,Комендантский проспект,True,264850
real_estate_agent,6,19,1,40.7,Горки,True,260442
real_estate_agent,4,10,2,60.0,Северный Вокзал,True,176667
real_estate_agent,11,17,2,54.3,Проспект Большевиков,True,195212
real_estate_agent,5,7,2,37.0,not available,False,291892
real_estate_agent,4,8,1,37.6,Выборгская,True,305851
real_estate_agent,9,10,2,67.3,Проспект Победы,True,184250
real_estate_agent,10,19,2,66.2,Горки,True,196224
real_estate_agent,6,7,1,38.0,not available,False,349211
real_estate_agent,2,3,1,37.0,not available,False,370270
real_estate_agent,8,9,2,42.0,Суконная слобода,True,330952
real_estate_agent,8,9,2,51.5,Дубравная,True,271845
developer,2,12,1,37.7,Приморская,True,372651
developer,3,9,1,34.37,Василеостровская,True,420214
real_estate_agent,7,12,1,40.0,not available,False,387500
real_estate_agent,7,10,2,52.0,not available,False,307692
real_estate_agent,3,4,2,48.0,not available,False,345833
real_estate_agent,14,25,1,61.3,Козья слобода,True,331142
representative_developer,7,10,2,62.0,Удельная,True,333000
real_estate_agent,1,5,2,75.0,not available,False,300533
developer,6,7,2,63.39,Кремлёвская,True,380000
real_estate_agent,2,9,2,88.3,Василеостровская,True,290000
real_estate_agent,3,7,2,68.1,Суконная слобода,True,389134
real_estate_agent,2,5,2,65.5,not available,False,442748
real_estate_agent,5,5,1,31.4,Студенческая,True,136911
developer,9,16,2,68.5,not available,False,147000
real_estate_agent,4,8,2,64.68,not available,False,170068
developer,6,9,1,32.0,not available,False,143600
real_estate_agent,9,22,1,33.4,not available,False,140719
real_estate_agent,7,9,1,30.2,Ленинский проспект,True,172185
realtor,5,16,1,33.4,Ботаническая,True,161677
developer,6,9,1,36.72,Рыбацкое,True,151736
developer,7,23,1,40.6,not available,False,140000
real_estate_agent,9,17,1,40.4,not available,False,141089
homeowner,5,5,1,35.7,Ломоносовская,True,161064
real_estate_agent,2,3,1,36.0,not available,False,161111
real_estate_agent,15,23,1,34.1,Рыбацкое,True,172727
real_estate_agent,1,17,1,32.0,not available,False,184375
homeowner,7,7,2,43.3,not available,False,136259
real_estate_agent,7,7,2,40.1,not available,False,152120
real_estate_agent,11,26,1,46.0,Купчино,True,135870
real_estate_agent,1,5,2,44.8,Пионерская,True,140625
developer,3,16,1,48.7,not available,False,130000
developer,16,25,2,40.82,not available,False,156051
real_estate_agent,5,5,2,41.9,Московская,True,152745
real_estate_agent,1,5,1,31.8,Московская,True,201258
realtor,9,9,1,39.0,not available,False,164103
developer,13,16,2,49.76,not available,False,131500
real_estate_agent,3,5,2,46.0,Выборгская,True,146739
real_estate_agent,3,25,1,38.4,Купчино,True,181771
realtor,12,17,2,48.8,not available,False,142828
real_estate_agent,12,21,2,53.92,not available,False,131677
real_estate_agent,10,24,1,31.0,Комендантский проспект,True,232226
real_estate_agent,4,11,1,33.2,Гражданский проспект,True,216867
real_estate_agent,5,17,2,48.0,not available,False,151875
real_estate_agent,3,4,1,31.3,Проспект Ветеранов,True,236422
homeowner,5,5,1,31.4,Новочеркасская,True,234076
real_estate_agent,5,9,2,45.6,Политехническая,True,163377
unknown,4,4,1,29.0,Пионерская,True,262241
real_estate_agent,5,5,2,44.01,Площадь Ленина,True,179277
real_estate_agent,1,4,1,36.2,Елизаровская,True,218232
homeowner,4,18,2,56.6,not available,False,145760
real_estate_agent,6,22,2,56.2,not available,False,149466
