author_type,floor,floors_count,rooms_count,total_meters,underground,availability_underground,price_per_meter
real_estate_agent,19,32,1,32.2,Шелепиха,True,776398
developer,5,8,2,44.6,Площадь 1905 года,True,174058
real_estate_agent,7,21,2,62.0,Ботанический сад,True,483871
real_estate_agent,4,11,1,52.4,Обводный канал,True,379771
real_estate_agent,5,6,2,94.0,Новокузнецкая,True,1053191
real_estate_agent,4,5,2,41.0,Рижская,True,462195
developer,2,10,2,43.53,not available,False,213400
real_estate_agent,10,12,2,65.0,not available,False,264615
real_estate_agent,1,9,2,48.0,Нахимовский проспект,True,310417
developer,8,13,2,64.0,Дубровка,True,588211
real_estate_agent,3,6,1,52.0,not available,False,391538
real_estate_agent,10,19,1,60.0,Народное Ополчение,True,458333
developer,3,9,1,55.0,Динамо,True,341609
real_estate_agent,3,6,1,47.3,not available,False,383087
real_estate_agent,17,20,2,65.0,not available,False,258462
real_estate_agent,11,21,2,80.0,Раменки,True,580000
developer,4,20,1,27.3,Аметьево,True,314775
real_estate_agent,31,37,2,61.0,Калужская,True,581803
representative_developer,2,4,1,29.45,not available,False,358574
real_estate_agent,15,21,2,76.0,not available,False,263158
real_estate_agent,22,22,1,19.4,Юго-Западная,True,431959
real_estate_agent,7,36,2,84.3,Шелепиха,True,676157
real_estate_agent,1,12,2,54.8,Перово,True,259124
developer,10,19,1,31.0,Площадь 1905 года,True,169287
real_estate_agent,2,8,2,112.8,Петроградская,True,325000
developer,19,25,2,57.7,Авиамоторная,True,431800
real_estate_agent,3,8,2,61.0,Василеостровская,True,573770
developer,13,27,2,61.78,Геологическая,True,195678
developer,2,16,2,49.4,not available,False,122095
real_estate_agent,4,10,2,64.3,Удельная,True,325000
real_estate_agent,4,14,2,53.0,not available,False,216038
realtor,31,67,2,51.5,Москва-Сити,True,951456
real_estate_agent,9,12,1,39.0,Тропарёво,True,346154
real_estate_agent,3,7,2,112.0,Спортивная,True,758929
real_estate_agent,21,24,1,40.8,Полежаевская,True,735294
developer,2,25,2,39.4,not available,False,156600
real_estate_agent,14,17,1,39.0,not available,False,410256
real_estate_agent,1,5,1,35.3,not available,False,83569
real_estate_agent,1,16,2,54.0,Ясенево,True,255556
real_estate_agent,2,6,2,58.0,Тушинская,True,318966
real_estate_agent,8,8,2,50.0,not available,False,130000
real_estate_agent,21,22,1,39.0,Алма-Атинская,True,289744
developer,2,22,1,49.7,not available,False,197700
real_estate_agent,4,22,2,73.9,Парк Победы,True,514208
developer,4,20,2,36.0,Коптево,True,396123
developer,5,23,2,60.5,not available,False,129000
real_estate_agent,10,34,2,64.4,Поклонная,True,791925
real_estate_agent,5,6,1,43.0,Белорусская,True,625581
real_estate_agent,4,20,2,76.6,Краснопресненская,True,810000
developer,3,4,1,36.32,not available,False,373950
real_estate_agent,8,17,1,28.0,not available,False,319643
representative_developer,2,4,2,70.03,not available,False,178495
real_estate_agent,13,25,1,38.8,Бульвар Генерала Карбышева,True,381443
real_estate_agent,15,18,1,38.5,Стрешнево,True,428571
developer,6,28,1,43.5,Полежаевская,True,395000
real_estate_agent,17,22,1,43.5,Стрешнево,True,441379
real_estate_agent,10,24,2,43.0,not available,False,488372
real_estate_agent,16,33,2,42.4,Шелепиха,True,495283
real_estate_agent,30,44,2,64.9,Трикотажная,True,331279
realtor,2,12,2,57.0,Молодёжная,True,426316
real_estate_agent,15,25,2,73.0,Аминьевская,True,349315
real_estate_agent,20,21,2,61.9,ЗИЛ,True,500808
developer,16,39,1,37.2,Павелецкая,True,898604
real_estate_agent,4,4,2,75.7,Марьина Роща,True,474240
